size,density,shadows,scenario,width,height,triangles,objects,prepare_ms,cpu_ms,opengl_ms,managed_bytes
129,0.15,False,static,860,812,56566,311,17.97,24.08,1.09,64085848
129,0.15,False,camera,860,812,56566,311,17.97,33.05,0.97,64132608
129,0.15,False,sun,860,812,56566,311,17.97,31.84,0.83,64178800
129,0.15,False,environment,860,812,56566,311,16.76,32.95,6.24,65861208
129,0.15,True,static,860,812,56566,311,16.17,36.26,1.28,65140112
129,0.15,True,camera,860,812,56566,311,16.17,45.85,1.08,65186856
129,0.15,True,sun,860,812,56566,311,16.17,51.96,10.98,65243320
129,0.15,True,environment,860,812,56566,311,25.19,53.63,11.40,66925800
129,0.85,False,static,860,812,58506,345,16.66,26.01,1.12,75427248
129,0.85,False,camera,860,812,58506,345,16.66,34.68,1.08,75464752
129,0.85,False,sun,860,812,58506,345,16.66,33.22,0.93,75511760
129,0.85,False,environment,860,812,58506,345,16.43,34.72,5.96,72122960
129,0.85,True,static,860,812,58506,345,16.32,38.26,1.46,68372680
129,0.85,True,camera,860,812,58506,345,16.32,48.68,1.14,68419264
129,0.85,True,sun,860,812,58506,345,16.32,56.15,11.54,68475552
129,0.85,True,environment,860,812,58506,345,17.98,59.82,11.92,65881632
257,0.15,False,static,860,812,177971,310,50.12,27.82,1.50,91212504
257,0.15,False,camera,860,812,177971,310,50.12,47.87,1.48,91250120
257,0.15,False,sun,860,812,177971,310,50.12,43.63,1.36,91296736
257,0.15,False,environment,860,812,177971,310,52.92,48.20,13.08,91213752
257,0.15,True,static,860,812,177971,310,46.25,41.15,1.48,84603336
257,0.15,True,camera,860,812,177971,310,46.25,59.92,1.51,84640768
257,0.15,True,sun,860,812,177971,310,46.25,73.84,24.85,84697120
257,0.15,True,environment,860,812,177971,310,44.42,77.80,25.03,84607280
257,0.85,False,static,860,812,179931,346,41.58,30.40,1.29,102425608
257,0.85,False,camera,860,812,179931,346,41.58,47.45,1.24,102472488
257,0.85,False,sun,860,812,179931,346,41.58,44.43,1.14,102518688
257,0.85,False,environment,860,812,179931,346,43.06,49.17,15.41,102388536
257,0.85,True,static,860,812,179931,346,40.34,41.59,1.25,85282848
257,0.85,True,camera,860,812,179931,346,40.34,61.85,1.33,85320728
257,0.85,True,sun,860,812,179931,346,40.34,78.49,25.23,85377080
257,0.85,True,environment,860,812,179931,346,45.61,82.18,26.14,85289088
513,0.15,False,static,860,812,659994,311,188.73,36.66,2.42,180822176
513,0.15,False,camera,860,812,659994,311,188.73,106.11,1.64,180868944
513,0.15,False,sun,860,812,659994,311,188.73,98.94,1.89,180915432
513,0.15,False,environment,860,812,659994,311,191.60,103.02,43.88,180976056
513,0.15,True,static,860,812,659994,311,183.31,49.91,2.64,163245496
513,0.15,True,camera,860,812,659994,311,183.31,114.05,2.56,163282936
513,0.15,True,sun,860,812,659994,311,183.31,171.95,78.12,163339296
513,0.15,True,environment,860,812,659994,311,185.06,165.21,76.10,163407976
513,0.85,False,static,860,812,662006,348,193.17,38.94,1.92,225672304
513,0.85,False,camera,860,812,662006,348,193.17,111.87,2.09,225719072
513,0.85,False,sun,860,812,662006,348,193.17,107.27,1.99,225765560
513,0.85,False,environment,860,812,662006,348,240.74,135.66,49.64,225673592
513,0.85,True,static,860,812,662006,348,181.49,50.51,2.53,164020752
513,0.85,True,camera,860,812,662006,348,181.49,111.87,2.78,164067568
513,0.85,True,sun,860,812,662006,348,181.49,169.16,78.80,164124288
513,0.85,True,environment,860,812,662006,348,177.00,155.41,81.17,164194896
