size,density,shadows,scenario,width,height,triangles,objects,prepare_ms,cpu_ms,opengl_ms,managed_bytes
129,0.15,False,static,860,812,56566,311,54.27,34.94,12.66,53581696
129,0.15,False,camera,860,812,56566,311,54.27,33.52,8.84,53628576
129,0.15,False,sun,860,812,56566,311,54.27,31.53,8.54,53674872
129,0.15,False,environment,860,812,56566,311,16.68,33.24,10.69,55357344
129,0.15,True,static,860,812,56566,311,16.04,48.61,11.44,53886928
129,0.15,True,camera,860,812,56566,311,16.04,45.62,8.97,53933624
129,0.15,True,sun,860,812,56566,311,16.04,52.25,14.36,53989320
129,0.15,True,environment,860,812,56566,311,21.66,53.55,15.98,55671912
129,0.85,False,static,860,812,58506,345,19.23,36.63,13.32,63825128
129,0.85,False,camera,860,812,58506,345,19.23,35.73,9.37,63872120
129,0.85,False,sun,860,812,58506,345,19.23,34.49,9.50,60499456
129,0.85,False,environment,860,812,58506,345,16.27,38.41,11.90,62249752
129,0.85,True,static,860,812,58506,345,19.07,49.56,12.15,54260808
129,0.85,True,camera,860,812,58506,345,19.07,49.41,9.91,54307664
129,0.85,True,sun,860,812,58506,345,19.07,56.29,15.07,54363488
129,0.85,True,environment,860,812,58506,345,15.94,59.18,16.04,56113320
257,0.15,False,static,860,812,177971,310,53.01,45.15,26.25,71490216
257,0.15,False,camera,860,812,177971,310,53.01,46.25,19.71,71537104
257,0.15,False,sun,860,812,177971,310,53.01,43.39,19.68,71574208
257,0.15,False,environment,860,812,177971,310,41.81,45.99,31.42,71490392
257,0.15,True,static,860,812,177971,310,53.57,61.40,25.05,64881048
257,0.15,True,camera,860,812,177971,310,53.57,64.25,21.85,64927760
257,0.15,True,sun,860,812,177971,310,53.57,76.04,34.55,64985704
257,0.15,True,environment,860,812,177971,310,50.86,74.02,38.57,64847240
257,0.85,False,static,860,812,179931,346,54.23,49.53,22.76,82329184
257,0.85,False,camera,860,812,179931,346,54.23,51.64,20.81,82375960
257,0.85,False,sun,860,812,179931,346,54.23,48.99,20.08,82422448
257,0.85,False,environment,860,812,179931,346,45.58,52.19,27.04,82296384
257,0.85,True,static,860,812,179931,346,42.88,61.98,23.55,65190784
257,0.85,True,camera,860,812,179931,346,42.88,62.38,21.86,65237608
257,0.85,True,sun,860,812,179931,346,42.88,78.75,32.69,65295048
257,0.85,True,environment,860,812,179931,346,41.16,77.08,39.42,65194520
513,0.15,False,static,860,812,659994,311,213.15,110.89,101.57,127697232
513,0.15,False,camera,860,812,659994,311,213.15,119.92,95.40,127744128
513,0.15,False,sun,860,812,659994,311,213.15,107.13,78.52,127790608
513,0.15,False,environment,860,812,659994,311,184.30,123.63,76.01,128082592
513,0.15,True,static,860,812,659994,311,192.49,137.67,91.86,110959512
513,0.15,True,camera,860,812,659994,311,192.49,124.70,79.16,111005576
513,0.15,True,sun,860,812,659994,311,192.49,182.68,117.80,111061880
513,0.15,True,environment,860,812,659994,311,191.84,175.91,121.30,111354560
513,0.85,False,static,860,812,662006,348,173.59,99.03,76.48,173681304
513,0.85,False,camera,860,812,662006,348,173.59,110.10,72.73,173728080
513,0.85,False,sun,860,812,662006,348,173.59,106.48,75.98,173774400
513,0.85,False,environment,860,812,662006,348,194.22,109.31,69.29,172195480
513,0.85,True,static,860,812,662006,348,175.46,124.18,78.89,110543008
513,0.85,True,camera,860,812,662006,348,175.46,129.67,81.50,110589472
513,0.85,True,sun,860,812,662006,348,175.46,188.77,120.87,110647208
513,0.85,True,environment,860,812,662006,348,194.03,175.75,116.68,110717888
